Name,Rating,Review_count,category,price_range,area
Smash Kitchen & Bar,4 star rating,762,Comfort Food,$$,Unionville
NextDoor Restaurant,4 star rating,475,Canadian (New),$$,Unionville Mainstreet
Alchemy Coffee,4 star rating,528,Coffee & Tea,$$,Unionville
Inspire Restaurant,4 star rating,494,Asian Fusion,$$,Unionville
Fat Ninja Bite,4.5 star rating,507,Japanese,$$,Milliken
Yin Ji Chang Fen,4 star rating,340,Chinese,$$,
Kore Chicken,4.5 star rating,144,Korean,$$,Unionville
Good Catch Boil House,3.5 star rating,429,Cajun/Creole,$$,Unionville
Felix & Norton,4.5 star rating,119,Bakeries,$$,Unionville
Toast Delight,4 star rating,209,Desserts,$,Unionville
Toast Delight,4 star rating,209,Desserts,$,Unionville
Azyun Restaurant,4 star rating,224,Chinese,$$,Unionville
Osaka Sushi Japanese Korean Restaurant,4 star rating,394,Japanese,$$,Unionville
Big Beef Bowl Hand-Pulled Noodle,4 star rating,309,Noodles,$,Unionville
Ding Tai Fung,3.5 star rating,519,Dim Sum,$$,Brown's Corners
PaPa Chang’s,4 star rating,382,Taiwanese,$,
Gyubee Japanese Grill - Markham,4 star rating,441,Japanese,$$$,
Eggette Hut,4 star rating,188,Desserts,$,Brown's Corners
Zen Japanese Restaurant,4 star rating,177,Japanese,$$$$,
Poke Guys,4 star rating,240,Poke,$$,Unionville
Platform Espresso Bar,4 star rating,172,Coffee & Tea,$$,Unionville
Sansotei Ramen,3.5 star rating,368,Japanese,$$,Unionville
Mr ChiMaek,4 star rating,227,Korean,$$,Milliken
Shawarma Stop,4.5 star rating,149,Middle Eastern,$,Brown's Corners
Peter’s Fine Dining,4 star rating,156,Seafood,$$$,Unionville
MINE Sushi,4 star rating,263,Japanese,$$,Buttonville
Mei Nung Beef Noodle House,4 star rating,285,Chinese,$$,Brown's Corners
Komeya Cafe,4 star rating,197,Japanese,$$,
Dragon Legend,3.5 star rating,368,Chinese,$$,Brown's Corners
Comebuy,4.5 star rating,64,Bubble Tea,$$,Unionville
New City Restaurant,4 star rating,198,Chinese,$,Unionville
Kiu Japanese Restaurant,3.5 star rating,363,Japanese,$$,Unionville
Love Gelato,4.5 star rating,126,Ice Cream & Frozen Yogurt,$,Unionville
Big Bone BBQ & Wicked Wings,4 star rating,227,Barbeque,$$,Unionville
Ramona’s Kitchen,4 star rating,307,Breakfast & Brunch,$$,
Old Firehall Confectionery,4 star rating,178,Chocolatiers & Shops,$$,Unionville Mainstreet
Kaka All You Can Eat,3 star rating,648,Japanese,$$$,Brown's Corners
Sam’s Congee Delight,3.5 star rating,281,Chinese,$,
Toyosu Markham,4 star rating,112,Sushi Bars,$$,Unionville
Katsuya,4.5 star rating,97,Asian Fusion,$$,Brown's Corners
Slice of Fire,4.5 star rating,110,Pizza,$,Unionville
Main St Greek,4 star rating,144,Greek,$$,Markham Village
Gal’s Sushi,3.5 star rating,351,Sushi Bars,$$,Brown's Corners
The Alley,3.5 star rating,261,Coffee & Tea,$,
Donburi,3.5 star rating,387,Japanese,$$,
MABU Generation,3.5 star rating,393,Taiwanese,$$,Brown's Corners
Good Taste Casserole Rice - Unionville,4 star rating,144,Chinese,$$,Unionville
Sumilicious Smoked Meat & Deli,4.5 star rating,283,Delis,$$,Scarborough
MiKi Sushi,4 star rating,108,Sushi Bars,$$,Unionville Mainstreet
Tapagria Spanish Tapas,3.5 star rating,259,Spanish,$$,
Big Trio Wonton Noodle,4 star rating,110,Chinese,$,Unionville
Congee Queen,3.5 star rating,226,Chinese,$$,Unionville
Tenon Vegetarian Cuisine,4 star rating,126,Sushi Bars,$$,Unionville
100 Percent Korean,4.5 star rating,255,Korean,$,Milliken
Pho Metro,3.5 star rating,188,Vietnamese,$,
Fishman Lobster Clubhouse Restaurant,4 star rating,935,Chinese,$$$,Milliken
Cha Me Cha,3 star rating,331,Taiwanese,$$,Unionville
Ai Sushi,3.5 star rating,254,Sushi Bars,$$,
Xin Jiang Restaurant,4 star rating,150,Chinese,$$,
JOEY Markville,3.5 star rating,276,Canadian (New),$$$,Unionville
Chiang Rai Thai Kitchen & Bar,3.5 star rating,147,Thai,$$,Milliken
Fancy Chinese Cuisine,3.5 star rating,201,Dim Sum,$$,Milliken
Izakaya Ju,3.5 star rating,181,Japanese,$$,
Yin Ji Chang Fen,4 star rating,102,Chinese,,ChineseUnionville
Cho-Kwok-Lat,4.5 star rating,56,Desserts,,DessertsChocolatiers & ShopsMarkham Village
The Old Curiosity Tea Shop,4.5 star rating,68,Desserts,$$,
Demetres Downtown Markham,3.5 star rating,163,Desserts,$$,Unionville
Ruth’s Chris Steak House,4 star rating,88,Steakhouses,$$$$,Unionville
Krispy’s Kajun Chicken,4 star rating,79,Fast Food,$,Unionville
Gong Cha Tea,4 star rating,132,Coffee & Tea,$,
Chinese Dumpling House,3.5 star rating,139,Chinese,$,
Draco Markham,4 star rating,94,Canadian (New),$$,Unionville
Mother’s Deli & Bakery,5 star rating,34,Delis,$,Unionville
Congee Queen,3.5 star rating,189,Chinese,$$,
Bamiyan Kabob,3.5 star rating,137,Afghan,$$,
Mr. Sun Tea,4 star rating,72,Bubble Tea,$$,Milliken
Brown Donkatsu and Ramen,3.5 star rating,152,Japanese,$$,Brown's Corners
Korean Food Express,4 star rating,71,Korean,$,Brown's Corners
Skyview Fusion Cuisine,3 star rating,238,Dim Sum,$$,Brown's Corners
Yan’s Soy Foods,5 star rating,29,Desserts,,DessertsMilliken
Woodstone Eatery,3.5 star rating,139,Asian Fusion,$$,Buttonville
Chef Papa Tea & Noodle Bar,3.5 star rating,172,Asian Fusion,$$,Unionville
India’s Taste,3.5 star rating,203,Indian,$$,
Bodira Cafe and Fine Foods,4.5 star rating,37,Italian,$,Box Grove
Federick Restaurant,3.5 star rating,207,Chinese,$$,Box Grove
MY Restaurant,4 star rating,81,Thai,$,Markham Village
A Corner Cafe,4 star rating,92,Cafes,$$,Unionville
AKA-ONI Ramen&izakaya -Scarborough,4 star rating,290,Japanese,$$,Milliken
Initium,4 star rating,91,Hair Salons,$$,Brown's Corners
Hibiki Japanese Cuisine,3.5 star rating,168,Japanese,$$,Unionville
SCENIC Coffee + Brunch,4 star rating,72,Breakfast & Brunch,$$,Brown's Corners
HCafe,3.5 star rating,143,Bakeries,$$,Unionville Mainstreet
Folco’s Ristorante,4 star rating,84,Italian,$$$,Markham Village
Daan Go Cake Lab,4 star rating,317,Desserts,$$,Milliken
Wonton Chai Noodle,4 star rating,79,Chinese,$,
Olde Village Bistro,3.5 star rating,123,Breakfast & Brunch,$,Unionville
The Alley,3.5 star rating,87,Bubble Tea,$$,Unionville Mainstreet
Ajisen Ramen,3.5 star rating,191,Ramen,$$,
El Habanero & Churrobar,4.5 star rating,132,Cuban,$$,Milliken
Chris Jerk Caribbean Bistro,4.5 star rating,382,Caribbean,$$,Scarborough
Nichiban Sushi 4 U,4 star rating,161,Sushi Bars,$$,Milliken
Wiang Kuk Thai Food,4 star rating,78,Thai,$,Brown's Corners
Michidean Limited,4.5 star rating,39,Wholesale Stores,$,Milliken
KINTON RAMEN,3 star rating,236,Ramen,$$,
Toogood Pond,4.5 star rating,36,Parks,,ParksUnionville
Jim Chai Kee,4 star rating,324,Chinese,$,
Tracy Dessert,3.5 star rating,143,Desserts,$,Brown's Corners
Get & Go Buritto,4 star rating,93,Mexican,$,Unionville
